Date,Open,High,Low,Close,Adj Close,Volume
04-01-2015,17788.10742,18173.04297,16299.11133,16715.61719,16715.61719,3519653157
05-01-2015,16771.86523,17625.94336,16771.86523,17385.18359,17385.18359,2784603752
06-01-2015,17393.85938,18279.74414,17321.65039,18193.03516,18193.03516,1477729149
07-01-2015,18185.91406,18902.16602,17995.33203,18622.70313,18622.70313,1573322436
08-01-2015,18609.92188,18609.92188,17683.90625,17757.48242,17757.48242,1252303275
09-01-2015,17696.94141,18149.50391,17581.00195,18105.48633,18105.48633,1167011117
10-01-2015,17911.90625,17963.2793,17080.41016,17132.15625,17132.15625,951652783
11-01-2015,17120.43555,17434.03125,16523.85742,16562.57227,16562.57227,1134728876
12-01-2015,16592.87305,16913.33398,16508.70117,16620.75781,16620.75781,1171805820
13-01-2015,16595.80859,16650.61328,13627.5752,13996.60547,13996.60547,4514136731
14-01-2015,13874.71094,13874.71094,10649.05566,11058.41504,11058.41504,6062387131
15-01-2015,10983.53516,14214.75293,10983.53516,13022.91797,13022.91797,5074863658
16-01-2015,12974.88477,13717.59082,12358.83301,12873.9209,12873.9209,2376915165
17-01-2015,12857.65039,13098.73828,12055.94141,12327.21973,12327.21973,1451952991
18-01-2015,12376.09375,13529.56641,12033.11328,13012.62207,13012.62207,1861214712
19-01-2015,13082.65332,13356.94629,12785.30078,13241.88281,13241.88281,1149911029
20-01-2015,13121.45801,13265.30273,12657.32422,13027.57031,13027.57031,1482750315
21-01-2015,13031.4541,14020.35059,13008.54785,13965.51074,13965.51074,1841859130
22-01-2015,13991.66992,14588.51953,13937.0127,14375.47559,14375.47559,2066011914
23-01-2015,14382.31152,14426.52832,13869.82129,14305.75684,14305.75684,1512511031
24-01-2015,14294.76074,15247.54102,14130.25195,15225.24121,15225.24121,1522388975
25-01-2015,15194.83398,15669.19629,14982.16309,15585.89648,15585.89648,2062985261
26-01-2015,15608.07227,19027.11523,15608.07227,16809.01758,16809.01758,6564093210
27-01-2015,16790.20898,16932.37891,15400.12012,16176.04785,16176.04785,2725876605
28-01-2015,16168.43555,16363.91699,13927.68262,14349.04785,14349.04785,2720697005
